epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,1479.17,0.7584,0.66168,0.94829,0.71015,0.84994,0.81349,0.67339,0.77781,0.81149,0.96839,0.0006931,0.0006931,0.0006931
95,1494.1,0.75114,0.67179,0.95388,0.73519,0.78655,0.81528,0.67585,0.74178,0.83094,0.94979,0.0006898,0.0006898,0.0006898
96,1508.76,0.75185,0.67202,0.94697,0.73606,0.82556,0.83801,0.68865,0.76191,0.76963,0.96077,0.0006865,0.0006865,0.0006865
97,1527,0.73537,0.66572,0.94784,0.7426,0.82144,0.83095,0.6867,0.78753,0.78266,0.9473,0.0006832,0.0006832,0.0006832
98,1542.78,0.76239,0.6606,0.95317,0.75434,0.75376,0.81453,0.66449,0.76734,0.81545,0.93725,0.0006799,0.0006799,0.0006799
99,1557.74,0.76485,0.67097,0.96296,0.74703,0.81295,0.83245,0.69439,0.7477,0.76223,0.94496,0.0006766,0.0006766,0.0006766
100,1574.25,0.7195,0.64885,0.94115,0.74682,0.78987,0.83602,0.69658,0.73579,0.76018,0.95069,0.0006733,0.0006733,0.0006733
101,1590.69,0.74629,0.64483,0.94862,0.73505,0.80883,0.82661,0.68566,0.74235,0.77937,0.94633,0.00067,0.00067,0.00067
102,1605.72,0.74266,0.66057,0.94373,0.70998,0.84433,0.8248,0.68594,0.72768,0.82156,0.93583,0.0006667,0.0006667,0.0006667
103,1621.05,0.73759,0.66341,0.94954,0.75084,0.79159,0.83266,0.68239,0.81871,0.81535,0.96392,0.0006634,0.0006634,0.0006634
104,1636.08,0.74303,0.65224,0.96103,0.76282,0.8135,0.82893,0.69053,0.71729,0.75569,0.92103,0.0006601,0.0006601,0.0006601
105,1650.97,0.72729,0.63107,0.95598,0.76086,0.77581,0.82356,0.68526,0.7322,0.79065,0.92705,0.0006568,0.0006568,0.0006568
106,1673.5,0.74331,0.66898,0.95321,0.72174,0.83485,0.83587,0.69871,0.76537,0.80383,0.96155,0.0006535,0.0006535,0.0006535
107,1690.34,0.73483,0.65508,0.94112,0.75952,0.7728,0.82341,0.68792,0.76768,0.82734,0.95995,0.0006502,0.0006502,0.0006502
108,1705.4,0.7196,0.62976,0.93221,0.74516,0.84064,0.83262,0.69463,0.75062,0.78473,0.93908,0.0006469,0.0006469,0.0006469
109,1720.4,0.72844,0.6245,0.94264,0.73064,0.8179,0.83244,0.6933,0.78733,0.81283,0.94749,0.0006436,0.0006436,0.0006436
110,1735.59,0.72546,0.65602,0.93835,0.74974,0.80411,0.81602,0.68073,0.73936,0.82666,0.93229,0.0006403,0.0006403,0.0006403
111,1752.46,0.71286,0.61713,0.93299,0.72991,0.83855,0.81511,0.68245,0.72552,0.80655,0.93343,0.000637,0.000637,0.000637
112,1767.66,0.72096,0.65479,0.94645,0.76752,0.76625,0.80574,0.66987,0.73248,0.8641,0.93258,0.0006337,0.0006337,0.0006337
113,1783.5,0.73999,0.63063,0.93464,0.75322,0.80841,0.82703,0.68896,0.7846,0.7904,0.94493,0.0006304,0.0006304,0.0006304
114,1798.61,0.7183,0.6438,0.93508,0.74412,0.8088,0.82343,0.6848,0.78266,0.8147,0.95121,0.0006271,0.0006271,0.0006271
115,1813.81,0.71746,0.62415,0.93807,0.74264,0.83425,0.83523,0.69471,0.77048,0.78416,0.93135,0.0006238,0.0006238,0.0006238
116,1828.73,0.70502,0.62171,0.93902,0.70954,0.83416,0.82388,0.68937,0.76322,0.80472,0.92875,0.0006205,0.0006205,0.0006205
117,1843.93,0.72282,0.62653,0.93357,0.78283,0.79037,0.82446,0.7006,0.7119,0.78804,0.91339,0.0006172,0.0006172,0.0006172
118,1861.37,0.70838,0.62282,0.93973,0.72217,0.82131,0.82602,0.69586,0.72162,0.81593,0.92639,0.0006139,0.0006139,0.0006139
119,1876.91,0.72146,0.613,0.93746,0.73176,0.84628,0.82311,0.68596,0.75148,0.80328,0.92971,0.0006106,0.0006106,0.0006106
120,1892.86,0.70365,0.59487,0.92935,0.69389,0.84217,0.81553,0.68934,0.71479,0.79787,0.91636,0.0006073,0.0006073,0.0006073
121,1908.53,0.70868,0.60411,0.92818,0.75189,0.80575,0.8323,0.70429,0.71934,0.79287,0.92164,0.000604,0.000604,0.000604
122,1925.52,0.73603,0.61729,0.93732,0.78886,0.80904,0.83282,0.71286,0.71237,0.74811,0.91423,0.0006007,0.0006007,0.0006007
123,1942.17,0.69732,0.60315,0.92686,0.77833,0.80554,0.84398,0.72496,0.68553,0.71787,0.90735,0.0005974,0.0005974,0.0005974
124,1959.14,0.70609,0.61652,0.93808,0.72728,0.84278,0.82942,0.69951,0.70756,0.72671,0.91449,0.0005941,0.0005941,0.0005941
125,1974.83,0.71176,0.60655,0.93169,0.73717,0.81383,0.82635,0.69432,0.74673,0.76618,0.93563,0.0005908,0.0005908,0.0005908
126,1991.12,0.71979,0.60924,0.93316,0.76284,0.83206,0.82983,0.69809,0.76854,0.76617,0.94314,0.0005875,0.0005875,0.0005875
127,2006.28,0.69538,0.60139,0.93014,0.74178,0.81782,0.82553,0.69847,0.69759,0.76619,0.91451,0.0005842,0.0005842,0.0005842
128,2021.42,0.68393,0.59342,0.9253,0.77089,0.81074,0.8303,0.69996,0.70988,0.7524,0.91201,0.0005809,0.0005809,0.0005809
129,2036.52,0.70204,0.60684,0.93768,0.73922,0.83886,0.83006,0.70129,0.7268,0.7748,0.93629,0.0005776,0.0005776,0.0005776
130,2051.53,0.68276,0.59674,0.9172,0.7613,0.83571,0.8396,0.71639,0.67479,0.74976,0.89618,0.0005743,0.0005743,0.0005743
131,2066.64,0.67952,0.58395,0.93258,0.76809,0.83515,0.84129,0.71446,0.68834,0.78734,0.90396,0.000571,0.000571,0.000571
132,2081.76,0.693,0.59772,0.93356,0.72709,0.81909,0.8172,0.68189,0.77205,0.80665,0.93326,0.0005677,0.0005677,0.0005677
133,2096.71,0.68436,0.60662,0.91827,0.74185,0.82854,0.82929,0.69844,0.72709,0.78664,0.9234,0.0005644,0.0005644,0.0005644
134,2111.44,0.68393,0.58718,0.92107,0.76454,0.83082,0.82771,0.69162,0.73402,0.7651,0.93911,0.0005611,0.0005611,0.0005611
135,2127.04,0.69755,0.60444,0.9333,0.7922,0.77596,0.82306,0.68912,0.75042,0.76911,0.94605,0.0005578,0.0005578,0.0005578
136,2142.49,0.68708,0.59672,0.93237,0.72797,0.82596,0.81781,0.68544,0.71586,0.8045,0.92548,0.0005545,0.0005545,0.0005545
137,2158.05,0.68125,0.57094,0.9178,0.76989,0.7988,0.82164,0.6847,0.75084,0.79487,0.94015,0.0005512,0.0005512,0.0005512
138,2173.28,0.67863,0.57855,0.91939,0.76749,0.80201,0.82306,0.6923,0.7214,0.77714,0.94509,0.0005479,0.0005479,0.0005479
139,2189,0.67636,0.57538,0.91528,0.7747,0.81646,0.83348,0.71163,0.67899,0.77116,0.91104,0.0005446,0.0005446,0.0005446
140,2206.26,0.66714,0.57574,0.92731,0.75918,0.83834,0.82757,0.69879,0.73047,0.76457,0.94015,0.0005413,0.0005413,0.0005413
141,2221.23,0.65161,0.57502,0.91683,0.79092,0.78266,0.8185,0.68454,0.75928,0.77429,0.94551,0.000538,0.000538,0.000538
142,2236,0.65706,0.57512,0.91763,0.74729,0.80986,0.81112,0.67833,0.74265,0.78199,0.93305,0.0005347,0.0005347,0.0005347
143,2251.24,0.67623,0.57498,0.9198,0.75135,0.80132,0.82168,0.69093,0.76606,0.7671,0.94728,0.0005314,0.0005314,0.0005314
144,2266.41,0.68048,0.5799,0.92196,0.74422,0.84345,0.82519,0.69159,0.78138,0.77939,0.95888,0.0005281,0.0005281,0.0005281
145,2281.5,0.69072,0.58372,0.92167,0.70946,0.86916,0.83568,0.70806,0.71266,0.79468,0.93034,0.0005248,0.0005248,0.0005248
146,2296.51,0.6824,0.59446,0.93309,0.70839,0.86568,0.83344,0.70184,0.74656,0.77276,0.94914,0.0005215,0.0005215,0.0005215
